"City","State","year","month","Homicide_Description","count","UCR_Type"
"Minneapolis","MN",2015,1,NA,0,NA
"Minneapolis","MN",2015,2,NA,0,NA
"Minneapolis","MN",2015,3,NA,3,NA
"Minneapolis","MN",2015,4,NA,4,NA
"Minneapolis","MN",2015,5,NA,7,NA
"Minneapolis","MN",2015,6,NA,7,NA
"Minneapolis","MN",2015,7,NA,7,NA
"Minneapolis","MN",2015,8,NA,1,NA
"Minneapolis","MN",2015,9,NA,4,NA
"Minneapolis","MN",2015,10,NA,6,NA
"Minneapolis","MN",2015,11,NA,8,NA
"Minneapolis","MN",2015,12,NA,2,NA
"Minneapolis","MN",2016,1,NA,3,NA
"Minneapolis","MN",2016,2,NA,0,NA
"Minneapolis","MN",2016,3,NA,1,NA
"Minneapolis","MN",2016,4,NA,2,NA
"Minneapolis","MN",2016,5,NA,4,NA
"Minneapolis","MN",2016,6,NA,3,NA
"Minneapolis","MN",2016,7,NA,5,NA
"Minneapolis","MN",2016,8,NA,6,NA
"Minneapolis","MN",2016,9,NA,3,NA
"Minneapolis","MN",2016,10,NA,6,NA
"Minneapolis","MN",2016,11,NA,3,NA
"Minneapolis","MN",2016,12,NA,1,NA
"Minneapolis","MN",2017,1,NA,3,NA
"Minneapolis","MN",2017,2,NA,0,NA
"Minneapolis","MN",2017,3,NA,1,NA
"Minneapolis","MN",2017,4,NA,1,NA
"Minneapolis","MN",2017,5,NA,3,NA
"Minneapolis","MN",2017,6,NA,6,NA
"Minneapolis","MN",2017,7,NA,3,NA
