"year","month","state_fips","state_abr","state_name","place_fips","place_name","within_county","population_est","homicide_count"
2014,1,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2224365,16
2014,2,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2227728,17
2014,3,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2230765,12
2014,4,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2234128,15
2014,5,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2237382,14
2014,6,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2240745,16
2014,7,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2243999,23
2014,8,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2247466,19
2014,9,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2250932,19
2014,10,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2254287,20
2014,11,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2257754,26
2014,12,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2261109,33
2015,1,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2264575,23
2015,2,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2268042,21
2015,3,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2271173,19
2015,4,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2274640,20
2015,5,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2277995,29
2015,6,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2281461,20
2015,7,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2284816,24
2015,8,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2286397,22
2015,9,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2287978,19
2015,10,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2289508,27
2015,11,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2291089,32
2015,12,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2292619,31
2016,1,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2294200,19
2016,2,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2295781,23
2016,3,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2297260,25
2016,4,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2298841,17
2016,5,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2300371,34
2016,6,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2301952,30
2016,7,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2303482,29
2016,8,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2305063,21
2016,9,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2306644,30
2016,10,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2308174,20
2016,11,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2309755,15
2016,12,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2311285,21
2017,1,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2312866,21
2017,2,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2314447,29
2017,3,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2315875,19
2017,4,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2317456,14
2017,5,48,"TX","Texas",35000,"Houston city","Fort Bend County, Harris County, Montgomery County",2318986,23
